,mean,std,min,max
run,15.5,8.803408430829505,1.0,30.0
r2,-0.9696312818542085,0.23729798126829596,-1.6390549025656722,-0.6308081990605254
mae,851.3286241179486,98.40006657932551,681.825108,1088.470649076923
mse,1540675.4244640279,446535.74623774644,793486.6500837693,2560406.26148052
rmse,1228.7015017181363,178.98577521871903,890.7786762623864,1600.126951676185
