fold,r2,mae,mse,rmse
1,-1.2009537244147364,932.8048749999999,1591224.3041591002,1261.4373960522576
2,-1.2453751353583495,716.3968720930233,922565.7221372765,960.5028485836347
3,-1.354154474441993,936.0848788372094,1519936.5545031077,1232.8570697786129
4,-0.8301193555420745,939.6334451162791,1941307.421555713,1393.3080856564757
5,-0.5301432631716014,943.6036579069768,2560769.888736318,1600.2405721441753
