,mean,std,min,max
fold,3.0,1.5811388300841898,1.0,5.0
r2,-1.032149190585751,0.34295542071945845,-1.354154474441993,-0.5301432631716014
mae,893.7047457906978,99.19970351334528,716.3968720930233,943.6036579069768
mse,1707160.7782183029,601572.2612736061,922565.7221372765,2560769.888736318
rmse,1289.6691944430313,234.29187758799358,960.5028485836347,1600.2405721441753
